Event	Catagory	Delta
被陷阱巨石砸中,失忆了,也不记得彼此的感情	爱情	-3
发现陷阱下意识躲避,却把对方留在了陷阱范围内	爱情	-3
战斗时中毒,只有一瓶解毒剂,却被对方告知坚持一下,等到中剧毒再用	爱情	-3
发现一方竟然隐瞒了自己是变性人	爱情	-3
中了迷情雾,双方都与怪物发生了关系	爱情	-3
不小心摔进坑里,却被对方嘲笑	爱情	-2
过分依赖对方,总是让对方做事情	爱情	-2
战斗中被敌人变成了狗,并且变不回来了	爱情	-2
冒险过程突然接到上司水晶传信,要回去加班	爱情	-2
交谈中触碰到了过去的心伤,大吵一架	爱情	-2
一方被危险吓到,心生退缩	爱情	-1
不尊重对方的兴趣和爱好	爱情	-1
对对方过分要求,期望值过高	爱情	-1
忽视对方的感受,不善于倾听	爱情	-1
一方对怪物心慈手软,发生了争执	爱情	-1
经常关心对方的伤口痛不痛,细心上药	爱情	1
将路边的小花精心编成花环送给对方	爱情	1
悄悄地看了对方很久	爱情	1
夸赞了对方	爱情	1
英勇地帮对方挡住了攻击	爱情	1
休息时展示了好厨艺	爱情	1
在对方累的时候给予拥抱和安慰	爱情	1
休息时在地上画了两人一起战斗的涂鸦	爱情	2
分享喜怒哀乐	爱情	2
暂时没有往前走,在角落里谈心了很久	爱情	2
不小心抱住了对方,两个人默默害羞	爱情	2
勇敢战斗的姿态迷住了对方	爱情	2
中毒后以为生命走到了尽头勇敢表白,结果对方默默摸出一瓶高级解毒剂解了毒	爱情	3
聊到了以前的生活和以后的规划,邀请对方以后一起冒险	爱情	3
在一个合适的晚上“完成了生命的大和谐”	爱情	3
了解到对方也和自己一样心怀正义并为之努力	爱情	3
战斗中手臂受了重伤	战斗力	-3
战斗中腿受了重伤	战斗力	-3
战斗中头受了重伤,走路不知道该迈哪条腿	战斗力	-3
战斗中身体受了重伤,呼吸都要很小心	战斗力	-3
中了昏睡陷阱,醒一分钟要睡五分钟	战斗力	-3
中了迷幻咒,只想在这个地方继续生活安度晚年	战斗力	-3
突然累了,想起家里的作业还没有写完,丧失了斗志	战斗力	-2
试图表演空中飞人但是摔伤了	战斗力	-2
鼻子撞到盾牌上撞歪了,信心遭受巨大打击	战斗力	-2
走路绊了一跤刚好落进陷阱里	战斗力	-2
对魔物暗自心动,开始怀疑起了冒险的意义	战斗力	-2
吃坏了肚子,两个人都虚脱了	战斗力	-2
用路边采的蘑菇煮汤,喝完后看见巨龙站在眼前,对着石壁砍了很久	战斗力	-2
不小心绊了一跤,脚有点疼	战斗力	-1
掉进水里,呛到了水	战斗力	-1
踩到屎,又臭又脏,走路变得小心翼翼	战斗力	-1
被怪风迷了眼,视力下降	战斗力	-1
被蛇咬了,幸好没有毒	战斗力	-1
小腿抽筋,走路有点痛	战斗力	-1
昨晚没睡好,落枕了,很难看清左边的危险	战斗力	-1
多天没有吃到足够的肉,力量有所下降	战斗力	-1
昨晚睡得很好,精力十足	战斗力	1
喝了提升力量的小药水	战斗力	1
用路边捡来的蘑菇煮汤,喝完看见了烤鸡和圣诞树,为了出去吃饭斗志增加	战斗力	1
做了美味的食物,非常开心	战斗力	1
伤口慢慢恢复	战斗力	1
喝了一瓶魔物屯的运动饮料,精力上升	战斗力	1
得到了顺手的武器,非常高兴	战斗力	2
听说前面有宝藏,立刻斗志昂扬	战斗力	2
吃了队友做的爱心烧烤,战力暴增	战斗力	2
得到了隐藏在墙壁上的战斗力增强buff	战斗力	2
用路边捡来的蘑菇煮汤,喝完看见了巨龙站在面前温柔地鼓励自己,一定能打倒巨龙的	战斗力	2
不小心踩到了小精灵,道歉后小精灵原谅了你并给了祝福	战斗力	2
战斗中受的重伤逐渐恢复,不再影响战斗了	战斗力	2
找到了一个古老的魔法阵,开启后大大增强了攻击	战斗力	3
找到了精灵泉,被精灵给予赠礼,生命力大大增强了	战斗力	3
找到了一堆金币,觉得后面还能找到更多,意志与勇气增加	战斗力	3
战斗后拿到了敌人的传奇武器	战斗力	3
喝下找到的珍贵魔法药水,感觉精力上限提高了不少	战斗力	3
杀死魔兽后获得了美味的魔兽肉,大吃了一顿增强攻击的烧烤	战斗力	3